Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Status,Date_of_Application,Date_of_Approval,Modified_Date,Reviewer_ID,Reviewer_Name,Reviewer_Comments,Load_Applied
Applicant_71,Male,District_0,Karnataka,621480,Owned,Passport,ID1070,General,Approved,21-06-2023,22-06-2025,10-01-2024, 020,Ankit Mishra,Final approval granted.,21
Applicant_72,Other,District_1,Karnataka,683449,Leased,Passport,ID1071,General,Rejected,04-07-2025,24-03-2025,23-07-2023, 012,Sanjay Kulkarni,Verified and confirmed.,5
Applicant_73,Male,District_2,Andhra Pradesh,639216,Leased,Aadhar,ID1072,SC,Rejected,08-11-2023,09-07-2024,17-05-2025, 014,Vikram Nair,Rejected due to incomplete information.,31
Applicant_74,Other,District_3,Tamil Nadu,637115,Leased,Passport,ID1073,ST,Pending,17-04-2023,12-03-2023,17-12-2024, 011,Kavita Menon,Requires further validation.,30
Applicant_75,Female,District_4,Andhra Pradesh,670940,Leased,PAN,ID1074,General,Pending,05-05-2023,24-05-2024,01-01-2024, 003,Sanjay Kulkarni,Verified and confirmed.,19
Applicant_76,Female,District_5,Tamil Nadu,681752,Leased,Aadhar,ID1075,OBC,Approved,18-01-2023,17-07-2025,21-02-2025, 006,Rahul Das,Pending additional details.,9
Applicant_77,Female,District_6,Andhra Pradesh,651479,Leased,VoterID,ID1076,General,Approved,17-09-2023,28-06-2024,21-06-2023, 004,Divya Malhotra,Need more documents for verification.,28
Applicant_78,Male,District_7,Kerala,695144,Owned,VoterID,ID1077,SC,Rejected,17-06-2023,23-12-2023,19-06-2023, 002,Kiran Rao,Verified and confirmed.,34
Applicant_79,Male,District_8,Andhra Pradesh,620882,Leased,PAN,ID1078,SC,Approved,16-05-2025,09-05-2024,28-05-2025, 015,Arjun Mehta,Need more documents for verification.,22
Applicant_80,Other,District_9,Andhra Pradesh,668903,Owned,VoterID,ID1079,SC,Rejected,10-09-2024,03-12-2024,30-01-2024, 015,Priya Verma,Final approval granted.,32
Applicant_81,Other,District_0,Andhra Pradesh,606520,Rented,Passport,ID1080,ST,Pending,13-05-2025,20-08-2025,12-08-2023, 014,Vikram Nair,Application  iewed successfully.,15
Applicant_82,Other,District_1,Telangana,691559,Leased,Aadhar,ID1081,General,Rejected,27-11-2024,15-07-2024,12-01-2023, 012,Arjun Mehta,Application under consideration.,27
Applicant_83,Female,District_2,Telangana,630888,Rented,PAN,ID1082,OBC,Pending,23-11-2024,25-08-2025,18-02-2025, 003,Kavita Menon,Verified and confirmed.,25
Applicant_84,Female,District_3,Telangana,698171,Owned,PAN,ID1083,General,Pending,01-01-2025,06-10-2023,25-06-2025, 013,Nitin Bansal,Application  iewed successfully.,8
Applicant_85,Male,District_4,Telangana,604750,Rented,PAN,ID1084,ST,Rejected,08-10-2024,19-05-2025,16-01-2025, 004,Rahul Das,Cross-check required with local authority.,13
Applicant_86,Female,District_5,Tamil Nadu,665159,Owned,Aadhar,ID1085,OBC,Pending,21-07-2024,04-08-2024,15-11-2023, 010,Divya Malhotra,Requires further validation.,37
Applicant_87,Male,District_6,Andhra Pradesh,627983,Owned,VoterID,ID1086,OBC,Approved,17-06-2023,27-06-2023,03-05-2024, 016,Pooja Sinha,Approved after detailed  iew.,45
Applicant_88,Other,District_7,Tamil Nadu,684567,Owned,VoterID,ID1087,General,Approved,04-07-2025,05-12-2024,16-12-2023, 004,Kiran Rao,Final approval granted.,44
Applicant_89,Other,District_8,Telangana,682267,Owned,Passport,ID1088,SC,Pending,28-03-2023,03-03-2023,25-02-2024, 018,Neha Kapoor,Need more documents for verification.,18
Applicant_90,Female,District_9,Telangana,602798,Rented,Passport,ID1089,ST,Pending,25-12-2024,05-09-2024,14-09-2023, 008,Deepak Yadav,Approved after detailed  iew.,22
Applicant_91,Female,District_0,Telangana,672543,Owned,VoterID,ID1090,General,Approved,07-01-2025,10-07-2024,09-01-2024, 001,Priya Verma,Rejected due to incomplete information.,26
Applicant_92,Male,District_1,Karnataka,628283,Rented,Aadhar,ID1091,ST,Pending,27-07-2025,19-05-2023,20-07-2023, 006,Ankit Mishra,Application  iewed successfully.,48
Applicant_93,Other,District_2,Andhra Pradesh,644414,Leased,Aadhar,ID1092,SC,Pending,15-04-2025,19-05-2023,21-02-2023, 015,Shreya Bose,Approved after detailed  iew.,47
Applicant_94,Female,District_3,Karnataka,686669,Rented,Aadhar,ID1093,SC,Pending,12-09-2024,12-06-2023,02-03-2024, 005,Anjali Joshi,Requires further validation.,47
Applicant_95,Male,District_4,Tamil Nadu,616415,Rented,PAN,ID1094,SC,Rejected,13-04-2025,23-05-2024,05-03-2023, 014,Suresh Patil,Application  iewed successfully.,3
Applicant_96,Female,District_5,Karnataka,668891,Owned,PAN,ID1095,General,Approved,02-02-2024,16-03-2025,12-12-2023, 016,Sanjay Kulkarni,Application  iewed successfully.,9
Applicant_97,Female,District_6,Telangana,680481,Owned,Passport,ID1096,SC,Approved,08-12-2024,24-08-2024,22-04-2023, 005,Amit Sharma,Verified and confirmed.,22
Applicant_98,Female,District_7,Telangana,634067,Leased,Passport,ID1097,ST,Approved,27-03-2025,27-02-2024,28-06-2024, 014,Divya Malhotra,Rejected due to incomplete information.,21
Applicant_99,Other,District_8,Tamil Nadu,603813,Leased,PAN,ID1098,General,Pending,07-03-2025,11-02-2023,26-07-2023, 004,Meera Reddy,Rejected due to incomplete information.,9
Applicant_100,Other,District_9,Tamil Nadu,648937,Rented,VoterID,ID1099,ST,Approved,22-11-2024,04-06-2023,24-11-2023, 011,Kavita Menon,Requires further validation.,24
